year,month,country,region,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct,policy_id,policy_name,policy_type,policy_domain,policy_status,policy_year,policy_restrictiveness_score,policy_maturity_score,ethical_alignment_score,implementation_strength,regulatory_risk_level,ai_investment_index,ai_research_output,policy_sentiment,amendment_count,compliance_score,alert_flag,policy_version,country_code,continent,policy_source,publishing_authority,publication_date,effective_date,review_date,volatility_score,enforcement_strength,expert_review_score,comment_count,discussion_status,last_updated,alert_date
2015,1,United States,North America,1,2,1,19,Google Gemini,90,0.9,,1,0,Yes,6,AIP-00001,AI Framework 1,Regulation,Transparency,Active,2026,3,43,50,Strong,High,27,2013,Restrictive,5,39,Amendment,v3.2,UNI,Asia,Government Portal,Data Protection Authority,2026-06-05,2026-11-27,2028-06-17,40,Medium,50,1,Open,2027-07-21,2026-09-20
2015,1,United Kingdom,Europe,4,1,5,11,Google Gemini,92,0.91,Draft,7,0,Yes,5,AIP-00002,AI Framework 2,Regulation,Transparency,Active,2024,4,67,66,Strong,High,48,3977,Supportive,2,61,New Policy,v1.6,UNI,Africa,AI Ethics Board,AI Commission,2024-07-18,2024-12-21,2027-01-14,37,Low,51,2,Under Review,2025-05-30,2024-07-23
2015,1,China,Asia,6,5,4,7,ChatGPT,70,0.75,Active,8,1,No,7,AIP-00003,AI Framework 3,Legislation,Ethics,Draft,2021,9,63,67,Weak,High,78,3026,Supportive,7,48,No Alert,v3.1,CHI,South America,Legal Database,Data Protection Authority,2021-06-08,2021-07-29,2023-03-16,20,High,78,18,Open,2022-07-31,2021-08-03
2015,1,India,Asia,7,5,0,59,Microsoft Copilot,50,0.64,,10,0,Yes,7,AIP-00004,AI Framework 4,Legislation,Governance,Active,2018,2,55,65,Weak,Medium,54,4689,Supportive,4,43,New Policy,v1.3,IND,Asia,Government Portal,Digital Affairs Agency,2018-05-10,2018-08-20,2019-12-13,36,Medium,93,31,Under Review,2018-08-03,2018-05-18
2015,1,Germany,Europe,9,7,6,29,Khanmigo,93,0.94,Active,13,0,Yes,1,AIP-00005,AI Framework 5,Strategy,Transparency,Active,2019,2,55,46,Moderate,Medium,33,794,Neutral,6,45,No Alert,v2.4,GER,Oceania,Government Portal,Ministry of Technology,2019-03-15,2019-05-15,2022-02-03,52,Medium,52,35,Under Review,2019-06-13,2019-05-08
2015,1,Brazil,South America,0,7,6,44,ChatGPT,75,0.7,Draft,4,0,No,10,AIP-00006,AI Framework 6,Strategy,Governance,Active,2020,4,70,62,Moderate,Medium,99,4367,Supportive,2,58,No Alert,v2.4,BRA,Europe,Legal Database,Digital Affairs Agency,2020-09-16,2021-01-09,2022-08-25,84,Low,92,0,Open,2022-03-31,2020-11-08
2015,1,Pakistan,Asia,3,8,7,46,Microsoft Copilot,45,0.55,Active,7,0,No,3,AIP-00007,AI Framework 7,Guidance,Governance,Repealed,2021,7,43,52,Moderate,Low,36,2853,Restrictive,5,57,No Alert,v3.2,PAK,Europe,Regulatory Authority,Digital Affairs Agency,2021-07-05,2021-12-30,2023-01-21,25,Medium,94,26,Closed,2021-12-02,2021-07-21
2015,1,Nigeria,Africa,6,1,2,37,Microsoft Copilot,42,0.52,Active,11,0,Yes,5,AIP-00008,AI Framework 8,Strategy,Data Privacy,Active,2025,9,65,66,Moderate,High,26,3851,Restrictive,5,50,No Alert,v1.5,NIG,Europe,Legal Database,Digital Affairs Agency,2025-11-18,2026-04-15,2027-03-23,75,Low,76,21,Open,2027-09-15,2025-12-23
2015,1,Canada,North America,3,1,3,29,Microsoft Copilot,94,0.92,Draft,6,0,No,5,AIP-00009,AI Framework 9,Legislation,Education,Active,2019,6,47,49,Strong,Medium,50,3876,Restrictive,4,44,New Policy,v2.2,CAN,North America,Regulatory Authority,Ministry of Technology,2019-12-15,2020-01-18,2021-04-25,9,Medium,88,47,Open,2021-02-17,2020-03-31
2015,1,Australia,Oceania,0,1,6,37,ChatGPT,96,0.93,,4,0,Yes,5,AIP-00010,AI Framework 10,Guidance,Data Privacy,Active,2023,5,43,40,Weak,Medium,29,2917,Neutral,4,58,No Alert,v3.1,AUS,Europe,AI Ethics Board,Data Protection Authority,2023-02-11,2023-08-09,2024-03-03,26,Low,86,25,Open,2023-07-14,2023-03-19
2015,2,United States,North America,10,8,0,20,Google Gemini,90,0.9,Draft,13,0,Yes,4,AIP-00011,AI Framework 11,Strategy,Governance,Active,2021,9,58,65,Moderate,Low,67,2290,Neutral,5,46,Amendment,v1.1,UNI,North America,Legal Database,Digital Affairs Agency,2021-09-28,2022-03-05,2023-05-23,72,High,50,47,Closed,2022-03-12,2021-11-10
